Target,Logistic Regression (CV ROC-AUC),SVM (CV ROC-AUC)
NR-AR,0.7365369705811806,0.7664022265015387
NR-AR-LBD,0.8464631304298529,0.8812938747009873
NR-AhR,0.8454881221879489,0.8958749906259245
NR-Aromatase,0.7635461937066055,0.8261684995465834
NR-ER,0.6786193533422431,0.7121136553425373
NR-ER-LBD,0.77445174752217,0.8045028690662495
NR-PPAR-gamma,0.7573908382191208,0.7986277146336253
SR-ARE,0.7350864459705347,0.8128353086000397
SR-ATAD5,0.782908189268209,0.8303092844744564
SR-HSE,0.7055335041049404,0.7760846895227353
SR-MMP,0.8337770915670599,0.8907246329634843
SR-p53,0.7618906332751431,0.850892077200144
