Target,Model,ROC-AUC,PR-AUC,F1-Score
NR-AR,Logistic Regression,0.6899603848330504,0.39938624243177934,0.3312883435582822
NR-AR,SVM,0.706213921901528,0.3745511313631034,0.4485981308411215
NR-AR,XGBoost,0.8746802490096207,0.6230558354162365,0.5777777777777778
NR-AR,Random Forest,0.9989700056593096,0.9729543821718519,0.6595744680851063
NR-AR-LBD,Logistic Regression,0.8238323315802656,0.520877947618666,0.5087719298245614
NR-AR-LBD,SVM,0.8602397946406211,0.5548002778414697,0.6153846153846155
NR-AR-LBD,XGBoost,0.9749953042824944,0.8248966857709245,0.7560975609756098
NR-AR-LBD,Random Forest,0.9762083646381167,0.8069716154378955,0.7105263157894737
NR-AhR,Logistic Regression,0.8412933174997301,0.5334491731591983,0.5169082125603865
NR-AhR,SVM,0.8884783547446832,0.5765582929663344,0.5568862275449101
NR-AhR,XGBoost,0.9797716722444132,0.8959660587909504,0.7761194029850745
NR-AhR,Random Forest,0.9998110763251646,0.998544742631764,0.9776357827476038
NR-Aromatase,Logistic Regression,0.7396339865474769,0.36538479182748856,0.31578947368421056
NR-Aromatase,SVM,0.7891054945694902,0.4115169537325143,0.4554455445544554
NR-Aromatase,XGBoost,0.9516713740791427,0.7860947648061368,0.5060240963855422
NR-Aromatase,Random Forest,0.9995559502664297,0.9894789387320049,0.9666666666666667
NR-ER,Logistic Regression,0.6681035711638356,0.3161249392568602,0.32051282051282054
NR-ER,SVM,0.71260199456029,0.41006302368358355,0.41087613293051367
NR-ER,XGBoost,0.8872685699949251,0.6821713518588433,0.4230769230769231
NR-ER,Random Forest,0.8552461269151599,0.6635069546802234,0.2608695652173913
NR-ER-LBD,Logistic Regression,0.7305216484089724,0.33964563073242643,0.32835820895522383
NR-ER-LBD,SVM,0.7804747000521648,0.41987443891621085,0.4748201438848921
NR-ER-LBD,XGBoost,0.9338080333854981,0.7078897855499238,0.5686274509803921
NR-ER-LBD,Random Forest,0.9990871152842984,0.984985022618293,0.743362831858407
NR-PPAR-gamma,Logistic Regression,0.707231694259122,0.17832252986983682,0.2476190476190476
NR-PPAR-gamma,SVM,0.7783131537764599,0.29710631687684735,0.25531914893617025
NR-PPAR-gamma,XGBoost,0.9897660818713451,0.8760639961010049,0.5660377358490566
NR-PPAR-gamma,Random Forest,1.0,1.0,1.0
SR-ARE,Logistic Regression,0.7500943158953723,0.4395674239343099,0.4602510460251046
SR-ARE,SVM,0.8080933517773305,0.49667427003392906,0.5065274151436032
SR-ARE,XGBoost,0.9189459674714957,0.7954268331146603,0.48837209302325585
SR-ARE,Random Forest,0.9995022216633132,0.9975186042547033,0.9243697478991597
SR-ATAD5,Logistic Regression,0.7404711559314682,0.29205004819623914,0.35862068965517235
SR-ATAD5,SVM,0.8005313381045326,0.35610809518036945,0.4175824175824176
SR-ATAD5,XGBoost,0.9598921058338755,0.774316175408573,0.41791044776119407
SR-ATAD5,Random Forest,0.9999457818260682,0.9985950503750433,0.970873786407767
SR-HSE,Logistic Regression,0.6955091533180778,0.24724874195211916,0.29914529914529914
SR-HSE,SVM,0.7851883634206288,0.3026549955748784,0.37593984962406013
SR-HSE,XGBoost,0.9646103483346046,0.7925216736886469,0.43999999999999995
SR-HSE,Random Forest,0.9998251970505975,0.9973199147740154,0.958904109589041
SR-MMP,Logistic Regression,0.8104315658355347,0.5009525077914526,0.5145413870246085
SR-MMP,SVM,0.8727825741468549,0.5957766917975231,0.5684754521963825
SR-MMP,XGBoost,0.9576756222751971,0.8693882479506885,0.7220447284345047
SR-MMP,Random Forest,0.9996161115048429,0.9977541858256493,0.9758713136729223
SR-p53,Logistic Regression,0.7712579689323876,0.24573909029888558,0.35856573705179284
SR-p53,SVM,0.8584358444823561,0.4044496449335713,0.41958041958041953
SR-p53,XGBoost,0.972820328634282,0.7986034774086728,0.40740740740740744
SR-p53,Random Forest,1.0,1.0,0.9822485207100593
