target,hidden_channels,lr,dropout_location,dropout_rate,avg_auc,std_auc
NR-AR,256,0.0005,none,0.0,0.8117822822877997,0.04322292392176652
NR-AR-LBD,256,0.001,after_fc1,0.2,0.8400397816170632,0.03609080441452431
NR-AhR,256,0.001,after_pool,0.2,0.8650690673639605,0.01602660559054905
NR-Aromatase,256,0.001,after_pool,0.2,0.7464950051332243,0.03336996630168969
NR-ER,256,0.0005,after_pool,0.2,0.7108397075939656,0.018787730811228306
NR-ER-LBD,128,0.001,none,0.0,0.7653468961919666,0.029426377154420306
NR-PPAR-gamma,256,0.001,after_pool,0.2,0.7618287188366943,0.02374853374665513
SR-ARE,256,0.001,after_fc1,0.2,0.7502542016276574,0.026339297082191165
SR-ATAD5,128,0.001,none,0.0,0.7692486245456894,0.02367161009523464
SR-HSE,256,0.001,none,0.0,0.7621180797814554,0.022787761687871184
SR-MMP,256,0.001,after_fc1,0.2,0.8468765854154927,0.008362943031537482
SR-p53,256,0.001,after_fc1,0.3,0.7836752831127585,0.014834563059494035
